sno,question,option1,option2,option3,option4,correct option,difficulty
26,Correct Declaration of Values to variables a and b?,"int a = 32,b = 40.6;",int a = 42; b = 40;,int a = 32; int b = 40;,int a = b = 42;,int a = 32; int b = 40;,medium
27,A _______ creates an object by copying variables from another object.,Copy constructor,Default constructor,Invoking constructor,Calling constructor,Copy constructor,medium
28,The C# provides special methods known as _____ methods to provide access to data members.,Loop,Functions,Methods,Accessor,Accessor,medium
29,"When an instance method declaration includes the abstract modifier,the method is said to be an ______.",Abstract method,Instance method,Sealed method,Expression method,Abstract method,medium
30,"The theory of _____ implies that user can control the access to a class,method,or variable.",Data hiding,Encapsulation,Information Hiding,Polymorphism,Encapsulation,medium
31,Inheritance is ______ in nature.,Commutative,Associative,Transitive,Iterative,Transitive,medium
32,The point at which an exception is thrown is called the _______.,Default point,Invoking point,Calling point,Throw point,Throw point,medium
33,"In C#, having unreachable code is always an _____.",Method,Function,Error,Iterative,Error,medium
34,C# treats the multiple catch statements like cases in a _____________ statement.,If,Switch,For,While,Switch,medium
35,"C# supports a technique known as ________, which allows a method to specify explicitly the name of the interface it is implementing.",Method Implementaion,Implicit Interface Implementation,Explicit Interface Implementation,Iterative Interface Implementation,Explicit Interface Implementation,medium
36,The reason that C# does not support multiple inheritances is because of ______.,Method collision,Name collision,Function collision,Interface collision,Name collision,medium
37,_______ is a set of devices through which a user communicates with a system using interactive set of commands.,Console,System,Keyboard,Monitor,Console,medium
38,The ______ are the Graphical User Interface (GUI) components created for web based interactions..,Web forms,Window Forms,Application Forms,None of the above,Window Forms,medium
39,"In Microsoft Visual Studio, ______ technology and a programming language such as C# is used to create a Web based application.",JAVA,J#,VB.NET,ASP.NET,ASP.NET,medium
40,The controls available in the tool box of the ______ are used to create the user interface of a web based application.,Microsoft visual studio IDE,Application window,Web forms,None of the above,Microsoft visual studio IDE,medium
41,"The___________keyword is new to C# 4.0 , and is used to tell the compiler that a variable?s type can change or that it is not known until runtime.",Covariance,dynamic,Contravariance,Object,dynamic,hard
42,_______ methods are not supported for dynamic types.,Anonymous,Static,Abstract,Extension,Extension,hard
43,_________parameters allows you to give a method parameter a default value so that you do not have to specify it every time you call the method.,optional,named,out,ref,optional,hard
44,Which of the following is the root of the .NET type hierarchy?,System.Object,System.Base,System.Root,System.Parent,System.Object,hard
45,C# does not support:,abstraction,polymorphism,multiple inheritance,inheritance,multiple inheritance,hard
46,Which of the following is/are not types of arrays in C#?,Single-Dimensional,Multidimensional,Jazzed arrays,Jagged arrays,Jazzed arrays,hard
47,A variable which is declared inside a method is called a________variable,Local,Private,Static,Serial,Local,hard
48,Two methods with the same name but with different parameters.,Overloading,Multiplexing,Duplexing,Loading,Overloading,hard
49,Which file contains configuration data for each unique URl resource used in project?,web.config,global.asax,webapplication.vsdisco,assemblyinfo.cs,web.config,hard
50,Features of Read only variables,Declaration and initialization is separated,It is allocated at compile time,It is allocated at runtime,all of the above,all of the above,hard
